region,ciudad,anio,hogares,poblacion,viajes_diarios,v_estudio,v_trabajo,v_otros,v_combinado,v_no_motorizado,v_transp_publico,v_caminata,v_transp_privado,documento_uuid,url_biblioteca,gdrive_url,gdrive_folder_id,report_name,carpeta_local
Arica y Parinacota,Arica,2010,53959,193073,568053,120620,133494,313940,2133,11620,131764,206863,215674,ed391547-6425-42c0-a39c-471021eeb140,https://biblioteca.mtt.gob.cl/documento/ed391547-6425-42c0-a39c-471021eeb140,https://drive.google.com/drive/folders/1WM8R5MZlsPVjAiNIbKaAJpgTeDiu0FG1?usp=sharing,1WM8R5MZlsPVjAiNIbKaAJpgTeDiu0FG1,"Actualización diagnóstico del S.T.U. de la ciudad de Arica, Etapa I - TRASA Ingeniería Ltda. - 2011",Arica_y_Parinacota__Arica_2010
Tarapacá,Iquique - Alto Hospicio,2010,71814,267887,653181,166793,193384,293004,1459,2635,194188,221576,233322,0faca214-47f2-483c-91f6-7a09817927ba,https://biblioteca.mtt.gob.cl/documento/0faca214-47f2-483c-91f6-7a09817927ba,https://drive.google.com/drive/folders/1XjioaW-hqRhoP16BOrpolF7uHFc5l-Y_?usp=sharing,1XjioaW-hqRhoP16BOrpolF7uHFc5l-Y_,Actualización diagnóstico del S.T.U. de la ciudad de Iquique - APPIA XXI Ingenieros y Arquitectos Consultores S.A. - 2012 ,Tarapaca__Iquique_Alto_Hospicio_2010
Antofagasta,Antofagasta,2010,88902,329294,831484,207998,214594,408891,593,2711,235352,282895,309933,d190d21e-2c91-4e7f-bb44-355baf001079,https://biblioteca.mtt.gob.cl/documento/d190d21e-2c91-4e7f-bb44-355baf001079,https://drive.google.com/drive/folders/13dJzjuHx_D5VQSY8OOo6qBJMHXvUfFLz?usp=sharing,13dJzjuHx_D5VQSY8OOo6qBJMHXvUfFLz,Actualización diagnóstico del S.T.U. de la ciudad de Antofagasta - TRASA Ingeniería Ltda. - 2012,Antofagasta__Antofagasta_2010
Antofagasta,Calama,2010,40474,132851,459848,55138,56470,348241,1697,7289,109751,136118,204993,a0cac4ec-fe91-46f2-8187-7c83680fb602,https://biblioteca.mtt.gob.cl/documento/a0cac4ec-fe91-46f2-8187-7c83680fb602,https://drive.google.com/drive/folders/196crPCEDQ3e7FRe6tUA_93r_Su4f04fY?usp=sharing,196crPCEDQ3e7FRe6tUA_93r_Su4f04fY,"Actualización diagnóstico del S.T.U. de la ciudad de Calama, I Etapa - Suroeste Consultores - 2012",Antofagasta__Calama_2010
Atacama,Copiapó,2010,40638,145683,417876,92294,111861,213721,23398,5176,117513,124510,147279,755161e7-b837-472e-8fbf-8026b6ab78a8,https://biblioteca.mtt.gob.cl/documento/755161e7-b837-472e-8fbf-8026b6ab78a8,https://drive.google.com/drive/folders/1KKuuNSvmVE5k0w2ZT9i-s9Q4CwroBKR_?usp=sharing,1KKuuNSvmVE5k0w2ZT9i-s9Q4CwroBKR_,"Actualización diagnóstico del S.T.U. de la ciudad de Copiapó, Etapa I - TRASA Ingeniería Ltda. - 2011",Atacama__Copiapo_2010
Coquimbo,Coquimbo - La Serena,2010,103237,366463,928209,237523,238007,452679,33530,329575,284451,0,280654,449565d9-6a3c-4dfa-b672-529a4612bdec,https://biblioteca.mtt.gob.cl/documento/449565d9-6a3c-4dfa-b672-529a4612bdec,https://drive.google.com/drive/folders/1ARp2_lrTAVCZHKijdk9iWTl06n31qqat?usp=sharing,1ARp2_lrTAVCZHKijdk9iWTl06n31qqat,Actualización diagnóstico del S.T.U. de la conurbación Coquimbo-La Serena - CIS Asociados Consultores en Transporte S.A. - 2012,Coquimbo__Coquimbo_La_Serena_2010
Valparaíso,Gran Valparaíso,2014,307203,964565,2295100,536700,643600,1114800,15157,17562,897082,598230,767068,c128f65b-b2f1-4189-a6bb-c94488f4eb6e,https://biblioteca.mtt.gob.cl/documento/c128f65b-b2f1-4189-a6bb-c94488f4eb6e,https://drive.google.com/drive/folders/177oXlFqJyiUKkAma21a8kJaN9bXqMS3e?usp=sharing,177oXlFqJyiUKkAma21a8kJaN9bXqMS3e,"Actualización Diagnóstico del S.T.U. del Gran Valparaíso, Etapa I - TRASA Ingeniería Ltda - 2016",Valparaiso__Gran_Valparaiso_2014
Valparaíso,San Antonio,2017,27196,88142,211805,36858,64705,110242,7694,1154,64842,50673,74174,579acde6-90a8-4007-83cb-95d7b8b177b8,https://biblioteca.mtt.gob.cl/documento/579acde6-90a8-4007-83cb-95d7b8b177b8,https://drive.google.com/drive/folders/1HIHrupwHDlOulDIqki5CdLxkFgYIySrM?usp=sharing,1HIHrupwHDlOulDIqki5CdLxkFgYIySrM,Actualización diagnóstico del S.T.U. de la ciudad de San Antonio -  Trasa Ingeniería Ltda. - 2018,Valparaiso__San_Antonio_2017
Metropolitana,Gran Santiago,2012,2051310,6651735,18461134,3605600,5984235,8871136,112247,747123,5378479,6363320,5859965,28168c0a-d9d3-45b2-a1d7-25f702334b9d,https://biblioteca.mtt.gob.cl/documento/28168c0a-d9d3-45b2-a1d7-25f702334b9d,https://drive.google.com/drive/folders/1CeFsEWFJaeURvR4TmDjQxE7TOJx0Mn3u?usp=sharing,1CeFsEWFJaeURvR4TmDjQxE7TOJx0Mn3u,"Encuesta de movilidad del Gran Santiago - Universidad Alberto Hurtado, Observatorio Social - 2012",Metropolitana__Gran_Santiago_2012
O'Higgins,Rancagua - Machalí,2018,94425,282986,747030,127096,195237,424697,2433,17734,188310,169430,369123,6a9722be-e273-4542-8bcf-cfa52a251e2c,https://biblioteca.mtt.gob.cl/documento/6a9722be-e273-4542-8bcf-cfa52a251e2c,https://drive.google.com/drive/folders/1ODtVofEm56z3nwWnpIE-TFQAqmlAn7uA?usp=sharing,1ODtVofEm56z3nwWnpIE-TFQAqmlAn7uA,"Actualización Plan de Transporte Urbano, Conurbación Machalí - Rancagua, Etapa I - Trasa Ingeniería Ltda. - 2020",O_Higgins__Rancagua_Machali_2018
Maule,Talca,2022,94116,284091,557712,146283,195593,215836,4212,31654,127561,114814,279471,e127055c-b4c9-4187-8e79-64ea20d007cf,https://biblioteca.mtt.gob.cl/documento/e127055c-b4c9-4187-8e79-64ea20d007cf,https://drive.google.com/drive/folders/1AZguKTwQFZzxWQXtAb0Lm2fpizi_97fp?usp=drive_link,1AZguKTwQFZzxWQXtAb0Lm2fpizi_97fp,"Actualización Plan de Transporte Urbano de Talca y Maule, Etapa I",Maule__Talca_2022
Maule,Curicó,2014,34676,104122,231442,53365,84413,93664,4362,20124,65653,50900,90403,80e87043-e924-41c3-af22-06a472fbd18c,https://biblioteca.mtt.gob.cl/documento/80e87043-e924-41c3-af22-06a472fbd18c,https://drive.google.com/drive/u/1/folders/17cSRgmXusLEnea1g60eCWABsaUPkO2d-,17cSRgmXusLEnea1g60eCWABsaUPkO2d-,Encuesta de movilidad Curicó - APTTA Consultores Ltda - 2015,Maule__Curico_2014
Maule,Linares,2019,26121,77826,188510,35355,60847,92308,3846,13049,35535,42399,93681,8f008a95-81ea-4190-a97e-1b43592ff17d,https://biblioteca.mtt.gob.cl/documento/8f008a95-81ea-4190-a97e-1b43592ff17d,https://drive.google.com/drive/folders/1_YbAWm179Kt49bCI8e92nxeZg_H7vKnX?usp=sharing,1_YbAWm179Kt49bCI8e92nxeZg_H7vKnX,"Actualización plan de transporte de la ciudad de Linares, Etapa I - Consorcio Consultora en Movilidad, Sustentabilidad, Transporte y Diseño Vial (MSTD) con V&R Ingeniería Ltda. - 2020",Maule__Linares_2019
Ñuble,Chillán,2023,75586,228536,544668,117840,152134,274694,11751,20320,105752,122319,284526,6a7f60c3-8d5f-4350-b285-48e13f749465,https://biblioteca.mtt.gob.cl/documento/6a7f60c3-8d5f-4350-b285-48e13f749465,https://drive.google.com/drive/folders/1lUQoAnRdgT1I6uZc773XGHVqMLhtAjlf?usp=drive_link,1lUQoAnRdgT1I6uZc773XGHVqMLhtAjlf,Actualización Encuesta Origen Destino Chillán y Chillán Viejo - 2024,Nuble__Chillan_2023
Biobío,Gran Concepción,2015,300469,911102,1789052,541001,489174,758877,45953,34361,695595,418084,595059,60a8ce4e-df72-45e6-892c-b8a5190e809e,https://biblioteca.mtt.gob.cl/documento/60a8ce4e-df72-45e6-892c-b8a5190e809e,https://drive.google.com/drive/folders/1es1u8wxE3tDW0OlqTizsPr5Fy7nPhnRz?usp=sharing,1es1u8wxE3tDW0OlqTizsPr5Fy7nPhnRz,"Actualización Plan de Transporte del Gran Concepción, Etapa I - Consorcio IIG - Suroeste - 2017",Biobio__Gran_Concepcion_2015
Biobío,Los Ángeles,2022,52294,165755,550321,84242,148640,317439,6408,13157,74574,126921,329261,b59198ac-e721-4ae8-98d7-22f17e0905b4,https://biblioteca.mtt.gob.cl/documento/b59198ac-e721-4ae8-98d7-22f17e0905b4,https://drive.google.com/drive/folders/1uKJT5b31sPZdf3PlNYU39AdnReTz3J3o?usp=drive_link,1uKJT5b31sPZdf3PlNYU39AdnReTz3J3o,Actualización Encuesta Origen Destino de Los Ángeles,Biobio__Los_Angeles_2022
La Araucanía,Temuco - Padre las Casas,2013,92569,311873,1008087,209355,289701,509031,19286,23161,246590,357363,361687,5a44549c-d570-41f4-b8ff-a2d65504cecc,https://biblioteca.mtt.gob.cl/documento/5a44549c-d570-41f4-b8ff-a2d65504cecc,https://drive.google.com/drive/folders/1j4HTZ-sWyy9WMeancq6d2XktphBJX1SK?usp=sharing,1j4HTZ-sWyy9WMeancq6d2XktphBJX1SK,"Actualización Plan de Transporte Temuco y desarrollo de anteproyecto, I Etapa - TRASA Ingeniería Ltda. - 2014",La_Araucania__Temuco_Padre_las_Casas_2013
